ItemID,Name,Type,Size,Weight,Color,Year,WarehouseID,ManufacturerID
1,Water Management Basics,Basics,4,3,Black,2021,19,1
2,Advanced Painting Supplies,Supplies,14,3,Black,2019,6,8
3,Irrigation Essentials Pack,Pack,10,8,Yellow,2011,22,23
4,Complete Gardening Essentials,Essentials,9,8,Black,2010,5,19
5,Essential Gardening Tools,Tools,6,8,Yellow,2020,22,4
6,Irrigation Starter Kit,Kit,4,11,Orange,2015,6,6
7,Networking Essentials Set,Set,3,12,Magenta,2022,4,2
8,Drainage Solutions Package,Package,4,13,Purple,2012,3,6
9,Power Management Essentials,Essentials,18,10,Mint,2012,17,20
10,Vibrant Painting Set,Set,2,2,Blue,2022,20,6
11,Paint & Brush Essentials,Essentials,19,10,Green,2015,5,6
12,Building Maintenance Kit,Kit,7,18,White,2015,16,8
13,Network Connectivity Essentials,Essentials,10,10,Magenta,2018,9,22
14,DIY Painting Kit,Kit,3,10,Yellow,2010,11,7
15,ComNetwork Installation Package,Package,5,10,Magenta,2014,14,9
16,Gardening Tools Bundle,Bundle,17,9,White,2014,9,18
17,Networking Pro Pack,Pack,8,2,Yellow,2016,15,10
18,Essential Gardening Tools,Tools,7,16,Yellow,2022,1,4
19,Electrical Tools Essentials,Essentials,10,3,Mint,2014,24,10
20,Networking Basics Kit,Kit,11,20,Purple,2020,5,8
21,Construction Essentials Kit,Kit,11,14,White,2019,4,18
22,Plumbing Repair Essentials,Essentials,12,3,Yellow,2013,14,5
23,Watering Techniques Package,Package,1,8,Yellow,2011,15,25
24,Home Construction Toolkit,Toolkit,15,1,White,2017,5,22
25,Drain Cleaning Package,Package,16,11,Blue,2023,25,11
26,Vibrant Painting Set,Set,18,4,Mint,2011,4,6
27,Plumbing Maintenance Bundle,Bundle,11,1,Magenta,2010,11,5
28,Essential Gardening Tools,Tools,1,18,Grey,2019,17,4
29,Plumbing Care Kit,Kit,9,16,Magenta,2017,24,10
30,Vibrant Painting Set,Set,4,8,Yellow,2023,25,6
31,Construction Gear Set,Set,19,3,Brown,2015,16,2
32,Irrigation Essentials Pack,Pack,5,17,Blue,2024,13,23
33,Complete Gardening Essentials,Essentials,12,4,Cyan,2022,3,19
34,Drainage Solutions Package,Package,15,18,White,2016,12,6
35,Networking Basics Bundle,Bundle,13,2,Green,2012,5,20
36,Complete Gardening Kit,Kit,3,17,Blue,2014,11,23
37,Basic Watering Solutions,Solutions,12,5,Yellow,2017,22,18
38,ComNetwork Support Package,Package,4,4,Black,2016,16,11
39,Smart Irrigation Tools,Tools,10,11,Mint,2017,23,10
40,Pipe Maintenance Kit,Kit,15,5,Mint,2024,4,11
41,Water Efficiency Essentials,Essentials,12,1,Brown,2023,21,22
42,Essential Gardening Tools,Tools,8,20,Grey,2021,24,4
43,Painting Pro Package,Package,13,18,Burdundy,2018,19,23
44,Water Supply Essentials,Essentials,7,14,Cyan,2016,24,1
45,Irrigation Starter Kit,Kit,5,6,Magenta,2020,2,6
46,Power Essentials Toolkit,Toolkit,5,10,Cyan,2020,18,9
47,Construction Helper Kit,Kit,1,2,Black,2020,19,20
48,Plumbing Fix-it Kit,Kit,6,4,Brown,2024,19,25
49,Construction Ready Pack,Pack,11,2,Purple,2018,22,1
50,DIY Painting Kit,Kit,19,10,Burdundy,2018,12,7
51,Complete Gardening Kit,Kit,16,8,Green,2024,11,23
52,Pipe Cleaning Pro Pack,Pack,14,6,Magenta,2021,2,19
53,Electricity Fundamentals Package,Package,9,11,Mint,2022,20,6
54,Smart Irrigation Tools,Tools,7,13,White,2015,22,10
55,Garden Care Essentials,Essentials,2,13,Yellow,2020,23,18
56,Pipe Maintenance Kit,Kit,13,8,Blue,2012,5,11
57,Electrical Tools Essentials,Essentials,19,10,Orange,2017,10,10
58,Water Management Basics,Basics,8,18,Pink,2018,25,1
59,Construction Pro Toolkit,Toolkit,20,4,Grey,2024,18,19
60,Irrigation Essentials Pack,Pack,15,19,Pink,2024,19,23
61,Building Maintenance Kit,Kit,7,14,Pink,2017,15,8
62,Smart Irrigation Tools,Tools,14,8,Red,2016,6,10
63,Construction Essentials Kit,Kit,5,3,Magenta,2010,7,18
64,Water Management Basics,Basics,17,4,Black,2024,22,1
65,Plumbing Maintenance Bundle,Bundle,8,14,Yellow,2020,13,5
66,Gardening Starter Set,Set,17,2,Brown,2016,23,23
67,Complete Gardening Essentials,Essentials,1,12,Burdundy,2015,19,19
68,Construction Ready Pack,Pack,10,3,Grey,2010,21,1
69,Paint & Brush Essentials,Essentials,18,12,Brown,2013,13,6
70,Garden Cultivation Set,Set,18,2,Brown,2017,21,16
71,Electricity Fundamentals Package,Package,17,13,Cyan,2012,25,6
72,Plumbing Care Kit,Kit,4,15,Mint,2024,13,10
73,Watering Techniques Package,Package,18,2,Magenta,2023,14,25
74,Network Connectivity Essentials,Essentials,10,16,Purple,2022,16,22
75,Home Construction Toolkit,Toolkit,12,16,Orange,2018,12,22
76,Garden Cultivation Set,Set,8,4,Grey,2011,10,16
77,Complete Gardening Essentials,Essentials,1,1,Mint,2014,17,19
78,Creative Painting Kit,Kit,7,4,Black,2021,10,1
79,Advanced Painting Supplies,Supplies,13,20,Magenta,2014,2,8
80,Irrigation Essentials Pack,Pack,7,18,Pink,2017,24,23
81,Complete Gardening Essentials,Essentials,11,20,Magenta,2012,15,19
82,Pipe Maintenance Kit,Kit,14,5,Magenta,2017,1,11
83,All-in-One Gardening Kit,Kit,10,6,Pink,2012,5,23
84,Plumbing Repair Essentials,Essentials,18,12,White,2020,12,5
85,Irrigation Essentials Pack,Pack,10,9,Orange,2010,9,23
